"date","time","size","version","os","country","ip_id"
"2023-07-23","04:19:20",97055808,"4.3.1","osx","US",1
"2023-07-23","04:19:25",82189487,"4.3.1","win",NA,2
"2023-07-23","04:19:31",1025576,"4.3.1","win","JP",3
"2023-07-23","04:19:43",82362105,"4.2.0","win","US",4
"2023-07-23","04:19:45",3263214,"4.3.1","win","JP",3
"2023-07-23","04:19:32",82190082,"4.3.1","win","CL",5
"2023-07-23","04:20:13",94632834,"4.3.1","osx",NA,2
"2023-07-23","04:21:06",82190362,"4.3.1","win","CN",6
"2023-07-23","04:21:23",94633751,"4.3.1","osx","US",7
"2023-07-23","04:21:50",82190481,"4.3.1","win","MX",8
"2023-07-23","04:22:14",82190614,"4.3.1","win","CO",9
"2023-07-23","04:22:12",9113342,"4.3.1","win",NA,2
"2023-07-23","04:22:15",82193197,"4.3.1","win","CN",10
"2023-07-23","04:23:22",12709259,"4.3.1","win","ID",11
"2023-07-23","04:25:20",94633662,"4.3.1","osx","AU",12
"2023-07-23","04:25:41",82193546,"4.3.1","win","KR",13
"2023-07-23","04:25:44",34939284,"4.3.1","src","IN",14
"2023-07-23","04:26:07",82191397,"4.3.1","win","CN",15
"2023-07-23","04:26:01",82192154,"4.3.1","win",NA,2
"2023-07-23","04:26:35",1068334,"4.3.1","win","US",16
"2023-07-23","04:26:14",49478827,"4.3.1","osx",NA,2
"2023-07-23","04:27:08",97053444,"4.3.1","osx","US",17
"2023-07-23","04:27:26",82189625,"4.3.1","win","JP",18
"2023-07-23","04:26:23",97052990,"4.3.1","osx",NA,2
"2023-07-23","04:28:06",82188765,"4.3.1","win","JP",19
"2023-07-23","04:28:09",97053264,"4.3.1","osx","US",20
"2023-07-23","04:28:01",82191097,"4.3.1","win","CN",21
"2023-07-23","12:14:12",82188453,"4.3.1","win","IN",22
"2023-07-23","12:14:34",82191910,"4.3.1","win","JP",23
"2023-07-23","12:14:57",82189453,"4.3.1","win",NA,2
"2023-07-23","12:14:51",94631870,"4.3.1","osx","AU",24
"2023-07-23","12:15:02",82189669,"4.3.1","win","ID",25
"2023-07-23","12:15:49",94635589,"4.3.1","osx",NA,2
"2023-07-23","12:15:58",82097720,"4.3.1","win","US",26
"2023-07-23","12:16:08",42418695,"4.3.1","win",NA,2
"2023-07-23","12:16:15",82189573,"4.3.1","win",NA,2
"2023-07-23","12:16:34",82189399,"4.3.1","win","ES",27
"2023-07-23","12:16:26",82195366,"4.3.1","win",NA,2
"2023-07-23","12:16:59",82191648,"4.3.1","win","TR",28
"2023-07-23","12:16:54",82195346,"4.3.1","win",NA,2
"2023-07-23","12:17:02",94633462,"4.3.1","osx","AU",29
"2023-07-23","12:17:07",86429685,"3.6.3","win","US",30
"2023-07-23","12:17:21",82189645,"4.3.1","win","JP",31
"2023-07-23","12:17:18",82188813,"4.3.1","win",NA,2
"2023-07-23","12:17:34",82097722,"4.3.1","win","CH",32
"2023-07-23","12:17:46",82193503,"4.3.1","win",NA,2
"2023-07-23","12:17:59",82097717,"4.3.1","win","US",33
"2023-07-23","12:18:14",82097724,"4.3.1","win","CH",32
"2023-07-23","12:18:23",82190011,"4.3.1","win",NA,2
"2023-07-23","12:18:23",82194868,"4.3.1","win",NA,2
"2023-07-23","12:18:41",4199680,"4.2.2","src","US",34
"2023-07-23","12:18:52",82189911,"4.3.1","win","KR",35
"2023-07-23","12:18:52",68566616,"4.3.1","win",NA,2
"2023-07-23","12:18:49",82188165,"4.3.1","win",NA,2
"2023-07-23","12:18:53",82191568,"4.3.1","win","GB",36
"2023-07-23","12:19:02",82190094,"4.3.1","win",NA,2
"2023-07-23","16:55:00",94632851,"4.3.1","osx",NA,2
"2023-07-23","16:55:14",393,"4.3.1","osx",NA,2
"2023-07-23","16:55:15",94639448,"4.3.1","osx",NA,2
"2023-07-23","16:55:14",370837,"4.3.1","osx",NA,2
"2023-07-23","16:55:17",82188526,"4.3.1","win",NA,2
"2023-07-23","16:55:39",82196880,"4.3.1","win","ID",37
"2023-07-23","16:55:44",82188523,"4.3.1","win",NA,2
"2023-07-23","16:56:19",82097722,"4.3.1","win","CH",38
"2023-07-23","16:56:43",90635517,"4.1.3","win","US",39
"2023-07-23","16:56:43",82187915,"4.3.1","win","JP",40
"2023-07-23","16:56:41",86429685,"3.6.3","win","US",41
"2023-07-23","16:57:03",34939896,"4.3.1","src","MY",42
"2023-07-23","16:57:06",82188472,"4.3.1","win","AU",43
"2023-07-23","16:57:12",94633563,"4.3.1","osx","US",44
"2023-07-23","16:57:44",34939637,"4.3.1","src","US",44
"2023-07-23","16:57:48",82197491,"4.3.1","win","MY",42
"2023-07-23","16:57:53",94632519,"4.3.1","osx","GB",45
"2023-07-23","16:58:11",97055711,"4.3.1","osx","US",44
"2023-07-23","16:58:08",376,"4.3.1","osx","US",46
"2023-07-23","16:58:08",1038486,"4.3.1","osx","US",46
"2023-07-23","16:58:18",82097722,"4.3.1","win","CA",47
"2023-07-23","16:58:21",94634427,"4.3.1","osx","US",46
"2023-07-23","16:58:47",94631645,"4.3.1","osx","US",44
"2023-07-23","16:58:59",94633091,"4.3.1","osx","CA",48
"2023-07-23","16:59:11",97052859,"4.3.1","osx","GB",45
"2023-07-23","16:59:13",82190088,"4.3.1","win",NA,2
"2023-07-23","17:59:01",367,"4.3.1","osx","IN",49
"2023-07-23","17:59:17",50457808,"4.3.1","win","RU",50
"2023-07-23","17:59:20",82194214,"4.3.1","win","FR",51
"2023-07-23","17:59:31",97053689,"4.3.1","osx","IN",49
"2023-07-23","17:59:39",82189094,"4.3.1","win",NA,2
"2023-07-23","21:49:11",82190943,"4.3.1","win","US",52
"2023-07-23","21:49:43",82194276,"4.3.1","win","CO",53
"2023-07-23","21:49:46",97053668,"4.3.1","osx","US",54
"2023-07-23","21:50:03",82190883,"4.3.1","win","GB",55
"2023-07-23","21:51:00",97054127,"4.3.1","osx",NA,2
"2023-07-23","21:51:08",82097725,"4.3.1","win","CA",56
"2023-07-23","21:51:17",82189973,"4.3.1","win","AU",57
"2023-07-23","21:51:34",82191134,"4.3.1","win","IT",58
"2023-07-23","21:52:26",94631323,"4.3.1","osx","US",59
"2023-07-23","21:52:32",94634996,"4.3.1","osx","US",60
"2023-07-23","21:53:03",82188859,"4.3.1","win","US",61
"2023-07-23","21:53:15",94637985,"4.3.1","osx",NA,2
